delta_ndvi,delta_ndwi,delta_sar,is_historical_flood,is_historical_drought,rainfall_mm,weather_flood_risk,weather_drought_risk,label
-0.007191077779208761,0.5460245005691988,-3.2668062352098883,1,0,21.63429561100729,1,0,FLOOD
-0.06698696241691601,0.6235112643931453,-4.8077274454731525,1,0,6.617204099732377,1,0,FLOOD
-0.07237322942985529,0.632948820612706,-3.1180542539950515,1,0,8.461817483767854,1,0,FLOOD
-0.059153976156619145,0.3146469559993972,-4.635224652770022,1,0,20.03547750032988,1,0,FLOOD
0.0649335670083848,0.4123399292136689,-1.8949711519846808,1,0,11.052474550839475,1,0,FLOOD
0.022997234746393765,0.3630181626771616,-4.544931144586779,1,0,20.41126503820751,1,0,FLOOD
-0.021442504830321642,0.4755642588662832,-2.355196618934164,1,0,19.942000637698868,1,0,FLOOD
-0.0698412584331404,0.23532078996158193,-3.777727020806855,1,0,17.159563365575753,1,0,FLOOD
-0.05534937621078531,0.5978909079937822,-3.7957866640697215,1,0,13.526908533160235,1,0,FLOOD
0.09099345855249101,0.36805716464095983,-3.335665573470546,1,0,22.57783959687009,1,0,FLOOD
0.09323597032904594,0.2972454631168699,-2.135077358633835,1,0,22.785828312674756,1,0,FLOOD
0.043672791735130015,0.3172073547819094,-4.787923548157643,1,0,13.241073212562517,1,0,FLOOD
0.035467785377136435,0.40791630530456524,-2.9171354596884207,1,0,13.47397108272054,1,0,FLOOD
0.0008793857700521082,0.6401278257607603,-2.1812330231794674,1,0,6.589779675252488,1,0,FLOOD
-0.035310404902885506,0.5089671447975449,-4.4585243154573275,1,0,24.40374680167319,1,0,FLOOD
-0.01433535628052433,0.34385555096341264,-2.6659989297943545,1,0,9.771363148358846,1,0,FLOOD
-0.09176411227229328,0.326727699664431,-4.068086761823549,1,0,23.1603134000218,1,0,FLOOD
-0.09525013036820246,0.5365037568133827,-5.024386544817523,1,0,18.022558556179295,1,0,FLOOD
0.08380024378582886,0.3326639274060852,-4.110649594105451,1,0,10.093874927597293,1,0,FLOOD
-0.039078376111099516,0.29939569595233584,-2.103839798214258,1,0,10.077810347508688,1,0,FLOOD
0.03414790928036005,0.5411494272378025,-2.520330190569774,1,0,19.162015383978293,1,0,FLOOD
-0.10046897669804035,0.5506544077884801,-4.340466780978503,1,0,6.496909710648814,1,0,FLOOD
-0.011578548262435307,0.4571095232543264,-2.092641034827015,1,0,18.560449617009017,1,0,FLOOD
0.007611204115061978,0.2778083619021751,-3.7261755453657956,1,0,5.236527687658226,1,0,FLOOD
-0.05444596411434672,0.5340330581958346,-3.1352688375038027,1,0,13.837376136649016,1,0,FLOOD
0.030854942443392083,0.5773628573673766,-4.561767377055844,1,0,18.978773580820324,1,0,FLOOD
0.0263727739437419,0.35643978317118774,-4.529766727919551,1,0,17.033654990687737,1,0,FLOOD
0.02633235126999215,0.5036351305908708,-2.7768103189855067,1,0,13.13797700808359,1,0,FLOOD
